epoch,loss,train_accuracy,validation_accuracy
0,2.8732487481971294,0.1398222222222222,0.1426
10,2.2787745297499713,0.22024444444444444,0.2292
20,2.202296388826603,0.26755555555555555,0.272
30,2.101654127651807,0.2911111111111111,0.294
40,2.083131410232577,0.30524444444444443,0.3064
50,2.0975161362109107,0.3178,0.3208
60,2.105317517191153,0.32613333333333333,0.33
70,2.1026804011431697,0.3321777777777778,0.3368
80,2.0589373882092525,0.3385111111111111,0.3426
90,2.06063841944157,0.3428222222222222,0.3472
99,2.1703324768649037,0.3469555555555556,0.3478
