neuron,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10
67,0.7616,0.082,0.0824,0.1076,0.1164,0.124,0.1254,0.1294,0.1298,0.1334,0.142
68,0.8666,0.9742,0.9844,0.9868,0.989,0.989,0.9898,0.9904,0.9904,0.99,0.989
69,0.3648,0.1366,0.0908,0.0688,0.0578,0.0614,0.0632,0.0764,0.0766,0.0812,0.0788
70,0.8602,0.497,0.3886,0.3504,0.3258,0.2944,0.3008,0.2928,0.2874,0.2834,0.2988
71,0.3368,0.7526,0.7514,0.7318,0.7138,0.7072,0.7034,0.7098,0.7008,0.6946,0.6926
72,0.7866,0.2334,0.0986,0.071,0.0554,0.045,0.0412,0.0344,0.0316,0.031,0.0332
73,0.998,0.9986,0.9986,0.9986,0.9984,0.9984,0.9984,0.9982,0.9982,0.9982,0.9984
74,0.1894,0.158,0.1362,0.111,0.0888,0.0756,0.069,0.0708,0.065,0.062,0.0594
75,0.0008,0.0022,0.002,0.002,0.002,0.0018,0.0018,0.0018,0.0016,0.0014,0.0014
76,0.0058,0.017,0.0342,0.0788,0.124,0.1528,0.2086,0.2466,0.2976,0.3222,0.3424
