neuron,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10
134,0.0022,0.0038,0.0046,0.005,0.0054,0.0068,0.0084,0.0094,0.0098,0.0102,0.0106
135,0.7366,0.9694,0.9862,0.9908,0.99,0.9894,0.9894,0.9894,0.9892,0.9892,0.9896
136,0.7632,0.5504,0.4948,0.4668,0.462,0.476,0.4618,0.4658,0.4522,0.4444,0.4446
137,0.0342,0.0158,0.0114,0.0102,0.0094,0.009,0.0086,0.0086,0.0088,0.0084,0.0076
138,0.0136,0.0166,0.0218,0.0182,0.0188,0.0186,0.0188,0.0184,0.0184,0.0198,0.0214
139,0.0666,0.0278,0.0244,0.0256,0.0264,0.026,0.0266,0.0292,0.0332,0.0364,0.0376
140,0.9522,0.9886,0.995,0.9966,0.9976,0.9978,0.9982,0.9982,0.9982,0.9982,0.9984
141,0.5682,0.319,0.2514,0.1994,0.1812,0.1672,0.171,0.1754,0.1756,0.171,0.1766
142,0.9648,0.9686,0.9572,0.8734,0.789,0.6958,0.6332,0.5814,0.5552,0.5556,0.526
143,0.0588,0.0342,0.0364,0.033,0.0312,0.0296,0.0286,0.0288,0.0292,0.0282,0.028
144,0.9714,0.9736,0.9798,0.982,0.9864,0.9924,0.9934,0.9948,0.9958,0.9962,0.9966
145,0.8406,0.9444,0.9042,0.8076,0.7618,0.6972,0.6488,0.5936,0.5636,0.5506,0.5298
146,0.9836,0.9864,0.9912,0.9932,0.9938,0.9944,0.9936,0.9926,0.9912,0.9904,0.9902
147,0.0176,0.008,0.0186,0.024,0.0326,0.038,0.0408,0.0424,0.0418,0.0428,0.043
148,0.1138,0.0332,0.0276,0.0304,0.0374,0.0414,0.0494,0.0536,0.0586,0.0682,0.0814
149,0.0944,0.3486,0.3548,0.3626,0.3656,0.3696,0.3752,0.3888,0.3918,0.4,0.4006
150,0.836,0.8712,0.7704,0.662,0.5968,0.5876,0.5568,0.5198,0.5288,0.5322,0.5488
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.798,0.134,0.1508,0.137,0.1484,0.1478,0.1522,0.1918,0.1956,0.231,0.2432
153,0.999,0.9994,0.9996,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9996,0.9996
154,0.8854,0.9678,0.9836,0.9882,0.9892,0.9904,0.9912,0.9924,0.9928,0.9926,0.992
155,0.9874,0.9888,0.993,0.994,0.9946,0.9948,0.9954,0.9958,0.9964,0.9968,0.997
156,0.1988,0.0712,0.0432,0.0304,0.0286,0.0276,0.0252,0.028,0.0294,0.0324,0.0332
157,0.9996,0.9986,0.9986,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988
158,0.2728,0.0502,0.0426,0.0382,0.031,0.026,0.0226,0.021,0.0178,0.0152,0.0162
159,0.3324,0.3258,0.1992,0.1336,0.1198,0.1124,0.1182,0.1226,0.1212,0.115,0.1086
160,0.35,0.058,0.0574,0.0644,0.0732,0.0812,0.0962,0.1066,0.1202,0.1324,0.1396
161,0.0006,0.0018,0.0022,0.0024,0.003,0.0038,0.0042,0.005,0.0062,0.0076,0.0076
162,0.2678,0.399,0.3182,0.3024,0.2944,0.2864,0.3026,0.3032,0.318,0.3246,0.3266
163,0.7072,0.9174,0.9294,0.9294,0.9316,0.9272,0.9216,0.9118,0.9056,0.8958,0.8774
164,0.2314,0.0242,0.0204,0.0176,0.0142,0.012,0.0092,0.0092,0.0076,0.0072,0.0064
165,0.5328,0.1102,0.1008,0.1032,0.1088,0.1082,0.1094,0.1176,0.1176,0.1204,0.1214
